"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Alec Ingold","MIA","8.9","21.5","0.6","6.1","44.1","0.4","0.4","11.7"
"C.J. Ham","MIN","3.0","13.6","1.0","5.3","34.8","0.1","0.0","11.3"
"Michael Carter","ARI","9.6","41.2","0.2","6.6","45.0","0.3","0.0","11.3"
"Jordan Mims","TEN","15.8","66.5","0.3","2.2","15.4","0.1","0.0","10.6"
"Raheem Blackshear","CAR","23.0","66.0","0.4","2.9","21.0","0.1","0.5","10.4"
"Carson Steele","KC","26.9","69.9","0.3","4.1","22.1","0.1","0.7","10.2"
"Israel Abanikanda","GB","13.3","54.8","0.4","1.3","10.5","0.1","0.0","9.2"
"Hassan Haskins","LAC","16.5","37.3","0.3","1.7","15.3","0.3","0.3","8.6"
"Dare Ogunbowale","HOU","6.5","28.7","0.1","4.9","37.7","0.2","0.0","8.3"
"Julius Chestnut","TEN","10.4","31.9","0.1","4.5","32.5","0.2","0.0","8.2"
"Frank Gore Jr.","BUF","10.2","42.8","0.2","2.0","15.0","0.1","0.0","7.7"
"Patrick Ricard","BAL","4.1","11.5","0.1","3.4","27.6","0.5","0.0","7.4"
"LeQuint Allen Jr.","JAC","4.0","29.4","0.6","1.5","11.0","0.0","0.0","7.3"
"Deuce Vaughn","DAL","8.9","35.0","0.1","3.2","21.5","0.1","0.0","7.0"
"Gary Brightwell","CIN","8.0","33.7","0.2","2.4","17.1","0.1","0.0","6.9"
"Eric Gray","NYG","11.9","42.7","0.2","1.9","14.4","0.1","0.5","6.0"
"Jashaun Corbin","ATL","9.3","35.1","0.2","1.5","10.6","0.0","0.0","5.7"
"Rasheen Ali","BAL","5.2","33.3","0.1","1.4","10.2","0.1","0.0","5.1"
"Hunter Luepke","DAL","4.2","14.5","0.1","3.9","26.7","0.1","0.0","4.8"
"DeeJay Dallas","ARI","5.8","22.2","0.1","3.2","21.4","0.1","0.5","4.4"
"Trey Sermon","PIT","5.0","20.8","0.1","1.6","11.5","0.1","0.0","3.9"
"Zonovan Knight","ARI","2.4","10.1","0.1","2.1","15.3","0.1","0.0","3.6"
"Elijah Dotson","ATL","2.6","10.9","0.1","2.0","14.1","0.1","0.0","3.5"
"Velus Jones Jr.","NO","2.4","10.4","0.1","1.9","13.5","0.1","0.0","3.4"
"Terrell Jennings","NE","2.4","10.1","0.1","1.9","14.5","0.1","0.0","3.3"
"Jase McClellan","TB","0.0","17.0","0.0","1.0","7.0","0.0","0.0","2.4"
"Dylan Laube","LV","0.0","10.0","0.0","1.5","11.0","0.0","0.0","2.1"
"Robbie Ouzts","SEA","0.0","0.0","0.0","2.0","14.8","0.1","0.0","1.9"
"Carlos Washington Jr.","ATL","0.0","15.0","0.0","0.5","3.5","0.0","0.0","1.9"
"Scott Matlock","LAC","0.0","0.0","0.0","2.2","14.7","0.1","0.0","1.8"
"Raheim Sanders","LAC","0.0","10.5","0.0","1.0","7.5","0.0","0.0","1.8"
"Tyler Badie","DEN","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Phil Mafah","DAL","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.4"
"Trayveon Williams","CLE","1.2","5.1","0.0","1.0","7.0","0.0","0.0","1.4"
"George Holani","SEA","0.0","8.5","0.0","0.5","3.5","0.0","0.0","1.2"
"Avery Williams","PHI","1.4","5.7","0.0","1.6","10.9","0.1","0.5","1.0"
"Keilan Robinson","PHI","0.0","2.0","0.0","1.0","7.0","0.0","0.0","0.9"
"Sione Vaki","DET","0.0","4.5","0.0","0.5","3.5","0.0","0.0","0.8"
"JaMycal Hasty","NE","0.0","4.0","0.0","0.5","3.5","0.0","0.0","0.8"
"D'Ernest Johnson","BAL","0.0","2.0","0.0","0.5","3.0","0.0","0.0","0.5"
"Myles Gaskin","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nyheim Miller-Hines","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike Boone","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Vaughn","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Ward","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jermar Jefferson","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deon Jackson","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Adam Prentice","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrion Davis-Price","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brittain Brown","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lew Nichols III","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Owen Wright","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jawhar Jordan","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Watson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Wiley","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Schrader","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aaron Shampklin","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendall Milton","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Donovan Edwards","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Corey Kiner","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
